Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Source,Number_News,Media_Attention,Reliability,Quarter,City,State,School_Level,Location,Location_Type,During_Classes,Time_Period,First_Shot,Duration_min,Summary,Narrative,Situation,Targets,Accomplice,Accomplice_Narrative,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Active_Shooter_FBI,Shots_Fired,LAT,LNG
19790226CABAB,2,26,1979,2/26/79,Barstow High School,0,3,3,0,https://cdnc.ucr.edu/?a=d&d=SBS19790328.1.15&e=-------en--20--1--txt-txIN--------1 https://www.vvdailypress.com/story/news/crime/2021/04/03/man-killed-police-perpetrated-1979-barstow-high-school-shooting-wounded-3-students/7078487002/ https://www.vvdailypress.com/story/news/crime/2021/04/03/man-killed-police-perpetrated-1979-barstow-high-school-shooting-wounded-3-students/7078487002/,2,Local,4,Winter,Barstow,CA,High,Courtyard,Outside on School Property,Yes,Morning Classes,,1,Student shot three other students when classes changed,"An 18-year-old student told other students that he planned to shot a student to get even with him and showed them a pistol 3 days prior to the shooting. On the day of the shooting, the student waiting outside by the cafeteria and shot the student he targeted 2 and struck 2 other bystander students. Shooter fled the area and was arrested by police 8 blocks away. Shooter was killed by police in 2021 after pointing a gun at an officer.",Escalation of Dispute,Both,No,,No,No,No,Yes,No,No,No,6,34.894154,-117.029164
19790129CAGRS,1,29,1979,1/29/79,Grover Cleveland Elementary School,2,9,11,0,http://beta.nydailynews.com/news/justice-story/justice-story-don-mondays-article-1.1504277 https://www.newspapers.com/image/570130513,,,2,Winter,San Diego,CA,Elementary,Off School Property,Off School Property,Yes,School Start,8:30 AM,15,Shooter barricaded herself in house across the street and shot at random students,"Shooter lived across the street from the school and fired at random students and school staff waiting outside for the school to open. When police arrived, she shot an officer in the neck. Shooter than barricaded herself inside her house from multiple hours. Shooter said her motive was ""she didn't like Mondays and wanted to liven things up"". Shooter had previously been arrested for firing BB gun at the school building breaking windows. Shooter lived in poverty with father in a single bed house. Father was abusive alcoholic. Shooter had previous brain trauma and depression. Shooter was given the rifle for christmas (said she thought her father gave it to her so she could kill herself).",Psychosis,Random Shooting,No,,No,Yes,No,No,No,No,Yes,,32.797006,-117.011324
19781214CTWIN,12,14,1978,12/14/78,Wilbur Cross High School,1,0,1,0,https://www.nytimes.com/1978/12/16/archives/youth-is-held-in-murder-of-teacher.html https://www.leagle.com/decision/1984263193conn701256,,,2,Winter,New Haven,CT,High,Office,Inside School Building,Yes,,,1,Armed robbery of school store,Teacher shot and killed during attempted robbery at school store.,Illegal Activity,Victims Targeted,No,,No,No,No,No,No,No,,1,41.324062,-72.907918
19781129NYPAN,11,29,1978,11/29/78,Park West High School,0,1,1,0,https://www.newspapers.com/image/396100647/?terms=school%2Bshooting,,,2,Fall,New York,NY,High,Classroom,Inside School Building,Yes,Afternoon Classes,12:30 PM,1,Showing off gun in class when gun accidentally went off striking student,15 year-old male was showing off new .22 target pistol. Gun discharged in classroom striking a 16 year-old female victim.,Accidental,Random Shooting,No,,No,No,No,No,No,No,,1,40.76553,-73.993319
19781017MOUNU,10,17,1978,10/17/78,University City High School,0,3,3,0,https://stltoday.newspapers.com/clip/7051030/3_wounded_in_university_city_high/,,,2,Fall,University City,MO,High,Beside Building,Outside on School Property,Yes,Morning Classes,10:15 AM,1,Shooter argued with victims in parking lot before getting gun from car and shooting them,"The shooter was a former student who had dropped out. The shooter got into a verbal dispute with the victims outside of the school building. The initial dispute ended and the shooter walked away from the victims. The shooter walked to his car, got a pistol, and returned to fire at the victims. The shooting may have stemmed from an ongoing dispute between the shooter and victims.",Escalation of Dispute,Victims Targeted,No,,No,No,No,No,No,No,,<5,38.664664,-90.329539
19781017ALLAL,10,17,1978,10/17/78,Lanett Junior High School,0,1,1,0,https://www.newspapers.com/newspage/107532734/,,,2,Fall,Lanett,AL,Junior High,Office,Inside School Building,Yes,Afternoon Classes,,1,Shot principal after being paddled for truancy,"Shooter was paddled by the principal for disciplinary issues. Shooter went home, got a pistol, and returned to the school where he confronted the principal and fired 2 shots at him. Shooter fled the area and was later apprehended. Shooter had no previous criminal or disciplinary issues. No charges were filed.",Anger Over Grade/Suspension/Discipline,Victims Targeted,No,,No,No,No,No,No,No,,2,32.85634,-85.196967
19780610MAWEW,6,10,1978,6/10/78,Weymouth South High School,0,0,0,0,https://www.newspapers.com/image/72988843/?terms=Weymouth%2BSouth%2BHigh%2BSchool%2Bshooting,,,2,Summer,Weymouth,MA,High,Auditorium,Inside School Building,No,School Event,,1,Student shot self on stage at commencement,"Student walked onto stage during school commencement and shot himself with a .22 pistol. Graduation continued 20 minutes later. Student had no history of issues and was said to be ""happy go lucky"" by school officials.",Suicide/Attempted,Victims Targeted,No,,No,No,No,No,No,No,,1,42.182322,-70.943572
19780607DEDOD,6,7,1978,6/7/78,Dover Air High,1,0,1,0,https://www.newspapers.com/image/160873897/?terms=Adams%2BElementary%2BSchool%2Bshooting,,,2,Summer,Dover,DE,High,Off School Property,Off School Property,No,School Event,,1,Accidental shooting at school picnic,17 year-old male student fatally shot a 18 year-old male friend at school picnic. Determined to be an accident.,Accidental,Neither,No,,No,No,No,No,No,No,,1,39.157103,-75.570896
19780519PADOP,5,19,1978,5/19/78,Downtown Junior High School,0,8,8,0,https://www.newspapers.com/image/178054448/?terms=school%2Bshooting,,,2,Spring,Philadelphia,PA,Junior High,School Bus,School Bus,Yes,Afternoon Classes,,1,Shots deliberately fired a school bus,School bus was deliberately shot while students were returning from trip to the zoo. 8 students were injured. No suspect was identified. No motive known. Multiple .22 and .30 caliber rounds struck the bus.,Indiscriminate Shooting,,No,,No,No,No,,,,Yes,,39.9525839,-75.1652215
19780518TXMUA,5,18,1978,5/18/78,Murchison Junior High School,1,0,1,0,https://www.nytimes.com/1978/05/19/archives/boy-arrested-in-teachers-killing.html https://www.newspapers.com/image/341795245/?terms=school%2Bshooting https://www.texasmonthly.com/articles/the-school-shooting-that-austin-forgot/,,National,4,Spring,Austin,TX,Junior High,Classroom,Inside School Building,Yes,Morning Classes,9:00 AM,1,Shot teacher multiple times in classroom,"Shooter walked into teacher's classroom with a rifle, fired multiple shots killing the teacher, fled the school, and was detained by the gym teacher. Shooter was a straight A student and had got a failing grade on the assignment by the teacher. Shooter was the son of President Johnson's press secretary. The origins/extentent of shooter's mental illness are unknowable (low emotional range, violent outbursts, suicidal ideation - considered killing himself prior to the shooting, manic, delusions). Two years before the shooting, a sixth grade classmate noticed that John had sketched a scene of a mass shooting, with red flames leaping out of the gun. Had a detailed map he drew of the school that he destroyed after the shooting. Hid in a closet while other students went into the classroom and then entered later after class started. Rifle used was a christmas gift from parents. Two psychiatrists testified that shooter was “acutely depressed” and suffered from “latent schizophrenia”.",Indiscriminate Shooting,Victims Targeted,No,,No,No,No,No,No,No,No,3,30.353972,-97.758778
19780428ILRIN,4,28,1978,4/28/78,Ridgewood High School,2,2,4,0,https://www.newspapers.com/image/385395737/?terms=Ridgewood%2BHigh%2BSchool%2Bdance,,,2,Spring,Norridge,IL,High,Beside Building,Outside on School Property,No,School Event,10:30 PM,1,Shooting outside school dance,Unidentified juvenile student shot 4 other students outside of the school dance. Teachers were unaware of any conflict between the students. Police did not release a motive.,Indiscriminate Shooting,,No,,No,No,No,,No,No,Yes,<10,41.961354,-87.815314
19780426TXPAD,4,26,1978,4/26/78,Paul Dunbar Elementary School,1,0,1,0,https://www.newspapers.com/image/85049072/?terms=woodrow%2Bporter%2Bjr. https://www.newspapers.com/image/192923844/?terms=school%2Bshooting   https://www.newspapers.com/image/336236544/?terms=woodrow%2Bporter%2Bjr.,,,3,Spring,Dallas,TX,Elementary,Office,Inside School Building,Yes,Afternoon Classes,,1,Victim had spanked shooter's granddaughter,Janitor at the school (victim) had spanked the shooter's 8 year old granddaughter so she shot and killed him.,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,,No,No,No,No,No,No,,3,32.774802,-96.749339
19780414MIFOD,4,14,1978,4/14/78,Fordson High School,0,1,1,0,https://www.newspapers.com/image/98660556/?terms=school%2Bshooting,,,2,Spring,Detroit,MI,High,Gym,Inside School Building,Yes,Afternoon Classes,1:30 PM,1,Shot in head in locker room,16 year-old male student shot a 18 year-old male student in the head in the locker room. Motive unknown.,Escalation of Dispute,Victims Targeted,No,,No,No,No,,,,,,42.330603,-83.178169
19780329TNGAN,3,29,1978,3/29/78,Gallatin Junior High School,0,1,1,0,https://www.newspapers.com/image/111103679/?terms=school%2Bshooting,,,2,Spring,Nashville,TN,Junior High,Office,Inside School Building,No,After School,,1,Principal shot at parent after he was called racial slur and fear they would attack him,"Parent was upset over discipline of child. During meeting with assistant principal, the parent allegedly called the assistant principal a N----r. Assistant principal feared he would be attacked by father, student, and student's brother so he fired at them.",Racial,Victims Targeted,,,No,No,No,No,No,No,,,36.1626638,-86.7816016
19780309CAMOS,3,9,1978,3/9/78,Monroe Elementary School,0,1,1,0,https://www.newspapers.com/image/295196725/,,,2,Spring,Santa Rosa,CA,Elementary,Classroom,Inside School Building,Yes,Morning Classes,,1,"Student struck in classroom, teen was shooting at cans hundreds of yards away","Victim was sitting in elementary school classroom and felt pain. Student went to teacher for help and the teacher realized the student had been struck by a bullet. Police found a hole in the wall. Police questioned nearby residents and discovered a 14 year-old male was shooting at cans in a creek bed hundreds of yards away. Round likely deflected, went through classroom wall, and struck student. No charges were filed.",Accidental,Random Shooting,,,No,No,No,No,No,No,,1,38.45612,-122.752621
19780222MIEVL,2,22,1978,2/22/78,Everett High School,1,1,2,0,https://www.newspapers.com/newspage/207607604/,,,2,Winter,Lansing,MI,High,Hallway,Inside School Building,Yes,Afternoon Classes,3:00 PM,1,"Bullying, shooter was self-proclaimed Nazi, taunted for beliefs",Shooter shot two students in the hallway of the school then handed the gun to a teacher. Shooter said he was tired of being bullied by the two students he shot.,Bullying,Victims Targeted,No,,No,No,No,Yes,No,No,Yes,<5,42.69293,-84.556661
19780209WVHAS,2,9,1978,2/9/78,Hayes Junior High School,1,0,1,0,https://www.wvgazettemail.com/news/cops_and_courts/before-school-shooting-became-a-common-term-junior-high-killing/article_6db5ead9-22c2-5c2c-8b56-32a110e4df26.html,,,2,Winter,St. Albans,WV,Junior High,Hallway,Inside School Building,Yes,Morning Classes,8:00 AM,1,Ongoing fights and bullying between shooter and victim,A 14 year-old male student (victim: Arthur Clinton Smith) pushed the shooter into a locker. It was the catalyst that led the shooter to pull out a handgun and fire three shots at the victim. The victim had bullied the shooter and the shooter had threatening to kill them if the harassment continued. Shooter fired 3 rounds at the victim near the school gym and then fled the scene.,Bullying,Victims Targeted,No,,No,No,No,Yes,No,No,,3,38.373133,-81.841999
19780111KYCHH,1,11,1978,1/11/78,Christian County Middle School,0,1,1,0,"https://news.google.com/newspapers?id=xeUrAAAAIBAJ&pg=1382,878132",,,2,Winter,Hopkinsville,KY,Middle,Hallway,Inside School Building,Yes,Morning Classes,8:10 AM,1,Shooting following an argument between students the night before,"Two 16 year-old male students were fighting following an argument the night before. A 13 year-old male student (Andre Davis) watching the fight was caught in the crossfire when a gun was fired. As school officials tried to end the fight, the gun went off and wounded the victim",Escalation of Dispute,Victims Targeted,No,,No,No,No,,No,No,,1,36.876586,-87.491832
